NAME,beds
Alaska,1885
Alabama,2913
Arkansas,1686
Arizona,6079
California,53265
Colorado,8274
Conneticut,2600
District of Columbia,6687
Delaware,1026
Florida,17793
Georgia,7413
Hawaii,3384
Iowa,2566
Idaho,1577
Illinois,10233
Indiana,5821
Kansas,2813
Kentucky,3322
Louisiana,2580
Massachusetts,17528
Maryland,5221
Maine,2348
Michigan,8964
Minnesota,6730
Missouri,5763
Mississippi,962
Montana,1351
North Carolina,7928
North Dakota,757
Nebraska,2764
New Hampshire,1574
New Jersey,7178
New Mexico,2379
Nevada,3153
New York,88955
Ohio,9253
Oklahoma,3101
Oregon,5957
Pennsylvania,12789
Rhode Island,993
South Carolina,3067
South Dakota,1215
Tennessee,5060
Texas,18141
Utah,2865
Virginia,4973
Vermont,823
Washington,14817
Wisconsin,4341
West Virginia,1480
Wyoming,804
